date,searches,search string,search string cleaned,field searched,search type,active tab,resource type pre-filter,signed in,on campus
2023-05-08,1,"Byrne, Patrick. “Chapter 4 The Structure of Ethical Intentionality: Three More Questions.” In  The Ethics of Discernment: Lonergan’s Foundations for Ethics, 95-117. Toronto: Toronto  University Press",byrne patrick chapter 4 the structure of ethical intentionality three more questions in the ethics of discernment lonergans foundations for ethics 95117 toronto toronto university press,any,Keyword,default_tab,All items,0,0
2023-10-14,1,"Kari Stefansen, Ingrid Holtan, and Thomas Johansson",kari stefansen ingrid holtan and thomas johansson,any,Keyword,default_tab,All items,0,0
2024-06-07,1,"Kalwij, A., %26 Vermeulen, F. Health and labour force participation of older people in Europe: What do objective health indicators add to the analysis?",kalwij a 26 vermeulen f health and labour force participation of older people in europe what do objective health indicators add to the analysis,any,Keyword,default_tab,Books,0,1
2024-04-12,1,"1 Russko-norve?skij slovar' V.P. Berkov ; pod redakciej Siri Sverdrup Ljunden, Ter'e Matiassena = Russisk-norsk ordbok / Valerij Berkov ; redaksjon Siri Sverdrup Lunden, Terje Mathiassen Berkov, V.P. 1929-2010",1 russkonorveskij slovar vp berkov pod redakciej siri sverdrup ljunden tere matiassena russisknorsk ordbok valerij berkov redaksjon siri sverdrup lunden terje mathiassen berkov vp 19292010,any,Keyword,default_tab,All items,1,0
2024-03-09,1,Point of Care Ultrasound (POCUS) Market Size - By Type (Diagnostic Devices  Therapeutic Devices)  By Portability (Trolley Based Devices  Handheld Devices)  By Application (Emergency Medicine  Cardiology  Obstetrics %26 Gynecology  Uro,point of care ultrasound pocus market size by type diagnostic devices therapeutic devices by portability trolley based devices handheld devices by application emergency medicine cardiology obstetrics 26 gynecology uro,any,Keyword,default_tab,All items,0,0
2023-09-27,1,"""hva er et prinsipp""",hva er et prinsipp,any,Keyword,default_tab,All items,0,0
2024-12-11,1,Entangled Geographies: Empire and Technopolitics in the Global Cold War,entangled geographies empire and technopolitics in the global cold war,any,Keyword,default_tab,Books,0,0
2023-07-27,1,Pottetreningpå tre dager,pottetreningpå tre dager,any,Keyword,default_tab,All items,0,0
2024-06-24,1,L'Eutidemo di Platone: Una Commedia Straordinariamente Seria,leutidemo di platone una commedia straordinariamente seria,any,Keyword,default_tab,All items,1,0
2023-10-19,1,"Fielding S. The Executioner’s Bible: The Story of Every British Hangman oftheTwentieth Century. London,UnitedKingdom: JohnBlake, 2008:291.",fielding s the executioners bible the story of every british hangman ofthetwentieth century londonunitedkingdom johnblake 2008291,any,Keyword,default_tab,All items,0,0
2024-01-24,1,Arnhild skre,arnhild skre,any,Keyword,default_tab,All items,1,0
2023-03-30,2,(Kumar (Morality and Life skills The need and importance of life skills education) (International journal of advanced education and research) 2017),kumar morality and life skills the need and importance of life skills education international journal of advanced education and research 2017,any,Keyword,default_tab,All items,0,2
2023-08-19,1,The construction of hierarchy: rethinking the Copper Age in southeastern Europe,the construction of hierarchy rethinking the copper age in southeastern europe,any,Keyword,default_tab,All items,1,1
2023-06-13,2,"""klosterneuburg annunciation""",klosterneuburg annunciation,any,Keyword,default_tab,All items,0,0
2023-08-21,2,10.1037/t11524-000,101037t11524000,any,Keyword,default_tab,All items,2,0
2024-02-23,1,"Carr-Fanning, K. %26 Curran, H. (2023) The special and inclusive edu- cation continuum: understanding and responding to SEND Carr-Fanning",carrfanning k 26 curran h 2023 the special and inclusive edu cation continuum understanding and responding to send carrfanning,any,Keyword,default_tab,All items,0,0
2023-01-24,1,9783035804812,9783035804812,any,Keyword,default_tab,All items,1,1
2024-06-01,1,"""Gendered Dimensions of the Returnee Experience: Women Returning from Daesh",gendered dimensions of the returnee experience women returning from daesh,any,Keyword,default_tab,All items,1,0
2024-01-04,2,"Hovedgårder, stormenn og landnåm",hovedgårder stormenn og landnåm,any,Keyword,default_tab,All items,0,0
2024-05-12,1,"""kompetanse"" ""lærer"" ""utagerende atferd""",kompetanse lærer utagerende atferd,any,Keyword,default_tab,Articles,0,0
2023-08-16,4,"""Thor medical""Thor Medicals FORSKNINGSPRODUKSJONSANLEG",thor medicalthor medicals forskningsproduksjonsanleg,any,Keyword,default_tab,All items,0,0
2023-04-17,2,Aftersun zornosa,aftersun zornosa,any,Keyword,default_tab,All items,2,0
2023-05-29,4,DOI: 10.1055/a-2100-2258,doi 101055a21002258,any,Keyword,default_tab,All items,0,0
2023-12-04,2,Custody contest: How to divide and reassemble a child.,custody contest how to divide and reassemble a child,any,Keyword,default_tab,All items,0,0
2023-05-17,1,Wolfgang J. A. Bender Ingenium animum humanum iuvat,wolfgang j a bender ingenium animum humanum iuvat,any,Keyword,default_tab,All items,0,0
2023-11-20,1,A24’s Aesthetics of Counter Culture,a24s aesthetics of counter culture,any,Keyword,default_tab,All items,0,0
2023-12-18,1,9788761944351,9788761944351,any,Keyword,default_tab,All items,0,0
2023-11-19,1,"N.E.Adler,W.T.Boyce,M.A.Chesney,S.Folkman,S.L.Sym",neadlerwtboycemachesneysfolkmanslsym,any,Keyword,default_tab,All items,0,0
2024-01-19,1,8214026067,8214026067,isbn,Keyword,default_tab,All items,0,1
2024-04-24,1,Allan Turner Style and Intertextual Echoes,allan turner style and intertextual echoes,any,Keyword,default_tab,All items,1,0
2023-08-18,1,"Geophagia History, Epidemiology, and Etiology By Anil Gupta",geophagia history epidemiology and etiology by anil gupta,any,Keyword,default_tab,All items,1,1
2023-06-08,2,9781788212823,9781788212823,any,Keyword,default_tab,All items,2,0
2023-03-23,1,"""bekreftende forutinntatthet""",bekreftende forutinntatthet,any,Keyword,default_tab,All items,1,0
2023-11-28,1,"Bhavnani, K.-K. (2014). Performing diaspora: Critical embodiments and epistemic disruptions. Text and Performance Quarterly, 34(3), 282-299.",bhavnani kk 2014 performing diaspora critical embodiments and epistemic disruptions text and performance quarterly 343 282299,any,Keyword,default_tab,All items,1,0
2024-07-13,2,"""Norwegian women’s motivations and preparations for freebirth—A qualitative study""",norwegian womens motivations and preparations for freebirtha qualitative study,any,Keyword,default_tab,Articles,2,0
